"SalePrice","SqrFeet","Bedrooms","Bathrooms","Air","CarGarage","Pool","Lotsize"
360000,3032,4,4,1,2,0,22221
340000,2058,4,2,1,2,0,22912
250000,1780,4,3,1,2,0,21345
205500,1638,4,2,1,2,0,17342
275500,2196,4,3,1,2,0,21786
248000,1966,4,3,1,5,1,18902
229900,2216,3,2,1,2,0,18639
150000,1597,2,1,1,1,0,22112
195000,1622,3,2,1,2,0,14321
160000,1976,3,3,0,1,0,32358
190000,2812,7,5,0,2,1,56639
559000,2791,3,4,1,3,0,30595
535000,3381,5,4,1,3,0,23172
525000,3459,5,4,1,2,0,35351
299900,2090,3,3,1,2,0,24025
527000,3232,5,5,1,2,0,21445
169900,1502,2,2,1,2,0,28958
335250,2747,3,4,1,2,0,22241
323900,2890,4,3,1,2,0,41992
200000,1825,3,3,1,2,0,30266
211000,1578,4,3,1,2,0,18829
212000,1763,3,3,1,2,0,24726
245000,2517,4,3,1,2,0,23261
140400,1872,3,2,1,2,0,24017
295000,3266,3,3,1,2,0,24881
170900,2020,1,2,1,1,0,21385
229000,2164,4,2,1,2,0,28291
218500,2080,3,2,1,2,1,14752
160000,2208,2,2,1,2,0,8058
259000,3048,6,4,1,3,0,29307
164500,1460,3,2,1,2,0,9999
280000,2540,3,2,0,2,0,42428
154000,2208,2,2,1,2,0,6746
272000,2560,4,2,1,3,0,36100
180000,2061,4,2,0,2,0,20138
157500,1980,3,2,1,2,0,32519
242500,3308,5,4,1,2,0,47323
182000,2616,5,3,0,2,0,11123
178000,1460,4,2,1,2,0,27095
171900,1580,2,1,0,1,0,12417
165500,1460,3,2,1,2,0,22493
183500,1540,3,2,1,2,0,15801
135000,1388,2,1,0,2,0,26106
175000,1624,3,2,1,2,0,39219
149500,1580,2,1,1,2,0,11166
177500,1820,3,2,1,2,0,22104
155000,1733,4,1,1,1,0,22398
145000,1896,3,2,0,2,0,32753
178000,2038,2,2,0,2,0,47884
156000,1436,3,2,0,3,0,43594
159000,1690,3,2,0,1,0,28518
160000,1496,2,2,0,1,0,43335
112000,1668,2,1,0,1,0,19612
84000,980,1,1,0,1,0,17686
155000,2562,3,2,0,2,0,40800
360000,2304,5,4,1,3,0,70240
104000,1268,2,1,0,1,0,21067
420000,2283,3,3,1,3,0,18524
355000,2060,2,3,1,2,0,38623
165000,2087,2,2,1,2,0,24764
244000,2081,4,2,1,2,0,24993
179900,1696,3,3,1,2,0,22294
253000,2222,4,2,0,2,0,71527
200000,2110,5,3,1,2,0,15332
200000,1774,4,2,0,2,0,15528
147700,1592,3,2,1,2,0,11221
188700,1748,3,2,1,2,0,23939
177000,1985,3,1,0,2,0,69975
585000,2558,2,4,1,3,1,24601
549900,4000,6,5,1,3,1,23595
675000,3942,4,3,1,2,0,18920
830000,3889,4,4,1,3,0,28378
920000,3857,4,5,1,3,0,32793
855000,4756,4,4,1,3,0,22215
585500,3302,4,3,1,3,0,26463
399000,2629,3,3,1,2,0,24778
790000,4418,5,5,1,3,0,22024
665000,4746,4,4,1,3,0,23368
725000,3242,3,3,1,3,0,27173
647000,2464,3,3,1,3,0,31703
780000,4419,4,5,1,7,0,56127
657500,3877,3,3,1,3,0,24639
578000,3808,5,4,1,3,0,23324
500000,3376,5,4,1,2,0,18452
484530,2940,3,3,1,3,1,20639
609000,2654,5,3,1,3,0,12821
635000,2672,4,3,1,3,0,28049
519000,3386,4,4,1,3,0,24008
625100,3648,4,4,1,3,0,26604
585444,3455,4,5,1,3,0,22468
399900,3321,3,4,1,3,1,15012
389900,2817,4,3,1,3,0,31214
649000,3210,3,5,1,3,0,30033
535000,3588,4,5,1,3,0,22530
640000,2705,3,3,1,3,0,22196
600000,2344,4,3,1,2,0,86004
582500,4264,5,4,1,4,0,24983
545000,2615,3,3,1,3,0,21722
480000,3608,6,4,1,3,0,25219
595000,2479,4,4,1,3,0,29805
610000,3251,3,4,1,3,1,25570
570000,2547,2,3,1,3,0,21789
479000,5032,7,3,1,3,0,22000
545000,4973,6,6,1,3,1,56139
335000,2582,4,3,1,2,0,23256
629000,3139,6,4,1,2,1,21810
505500,3516,4,4,1,3,0,19867
370000,2936,4,4,1,3,0,16437
529000,3351,5,4,1,3,0,24216
490000,3136,4,4,1,3,0,27158
535000,3525,4,5,1,3,0,27501
612000,3917,6,5,1,3,0,37972
442500,2702,4,3,1,3,0,39643
500000,3644,3,4,1,3,0,21895
539000,3072,4,4,1,3,0,25158
545500,3233,4,4,1,3,0,22961
424000,2918,4,4,1,3,0,22003
325000,3266,4,3,1,3,0,16640
367000,2940,4,7,1,2,0,22003
470000,3430,3,4,1,2,1,25018
393000,2472,4,4,1,3,0,21784
530000,2878,4,4,1,3,0,68351
400000,2537,3,3,1,2,0,11053
403500,3858,4,4,1,3,0,22224
550000,2742,3,3,1,3,0,22306
380000,3460,5,4,1,2,0,18571
500000,3836,5,4,1,3,0,48465
465000,4453,7,5,1,2,0,15595
451500,4080,5,4,1,3,0,22134
336000,3301,3,4,1,2,0,18741
550000,3828,4,5,1,2,1,17051
450000,2973,4,3,1,2,0,21999
440000,2821,5,4,1,2,1,32914
515000,2950,5,3,1,2,0,21598
415000,2362,3,3,1,2,0,21604
380000,3092,3,4,1,2,0,20081
489500,2866,4,4,0,2,0,22424
478000,3369,5,4,1,3,0,21161
460000,3068,4,4,1,3,0,18289
379900,2380,3,3,1,3,0,21999
390000,2225,2,3,1,3,0,38722
338000,2655,3,3,1,2,0,21960
675000,3855,4,4,1,3,0,35845
440000,2892,4,4,1,2,0,35839
500000,3832,4,3,1,2,0,28722
470000,3164,6,4,1,2,0,20505
317500,2620,3,2,1,3,0,12266
430000,3076,6,4,1,3,0,26648
430000,4022,6,4,1,3,0,18429
475000,3377,4,3,1,3,0,22495
389000,2858,5,4,1,1,0,23981
400000,3540,4,4,1,3,1,18012
395000,3045,4,3,1,1,0,34356
395000,4150,4,3,0,3,0,21778
296000,1778,2,2,1,2,0,24022
387500,2412,2,3,1,3,0,22676
353000,2668,4,3,1,2,0,18384
350000,2274,4,3,1,3,0,22049
437632,2936,4,3,1,3,0,22844
447500,2526,2,2,1,0,0,28248
318500,2449,4,4,1,2,0,22075
352000,3131,4,4,1,2,0,15209
295000,2536,3,3,1,3,0,39427
313500,3314,2,3,1,3,0,24339
330000,2230,3,2,1,2,0,24798
400000,2631,4,4,0,2,0,44885
325000,2638,4,3,1,2,0,25747
340000,2756,4,3,1,2,1,22546
399900,3262,5,4,1,2,0,25541
249900,1936,4,4,1,3,0,12850
389000,3148,4,4,1,3,1,16587
364500,2616,3,4,1,2,0,32655
357500,3630,4,3,1,2,0,23283
295000,1954,3,3,1,3,1,19300
274500,1926,5,3,1,2,0,26418
259000,2556,3,2,1,2,0,80886
415000,2282,5,4,1,2,0,23003
443000,3314,3,4,1,3,0,22012
249000,2001,3,3,1,2,0,23812
330000,2607,5,2,1,2,0,23139
291000,2840,4,4,1,2,0,23079
418000,3036,3,5,0,2,0,33746
320000,2240,4,2,1,3,0,18682
264000,1788,3,3,0,2,0,18484
381000,2620,5,4,1,2,0,28093
250000,1480,3,3,1,2,0,14230
360000,2588,3,3,1,2,1,19004
369500,3138,4,4,1,2,0,18190
285400,2460,5,4,1,2,0,27492
409000,3566,4,4,1,2,0,18044
333000,2692,5,4,1,3,0,22020
362000,2958,5,4,1,3,0,45200
387500,3164,4,4,1,2,1,23856
239000,2058,3,3,1,2,0,21046
299900,2717,3,4,1,2,0,22083
335000,2920,4,3,1,3,0,22434
275000,2554,5,3,1,2,0,21820
328000,2805,3,4,1,2,0,22582
333000,2736,4,3,1,2,1,29591
